Station,Type,Name,County,State,Latitude,Longitude,Elevation,Supported By,First Ob,Most Recent Ob,Temp,Dew Point,Wet Bulb,SLP,Stn. Pres.,Vis,Wx Type,Obscur,Wind Spd,Wind Dir,Wind Gusts,RH,Precip,Snow,ET,Altimeter,Soil Temp,Soil Moist.,Soil Salinity,Solar Rad.,PAR,Cloud Cover,Fuel Temp,Fuel Moist.
NC-BC-84,CoCoRaHS,Arden 2.8 WSW,Buncombe County,NC,35.458875,-82.565172,2162,,7/15/2014,2/10/2015,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-BC-113,CoCoRaHS,Arden 1.6 E,Buncombe County,NC,35.4654808,-82.48762512,2249,,8/10/2015,6/3/2020,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-BC-145,CoCoRaHS,Avery Creek 0.9 ESE,Buncombe County,NC,35.4567,-82.5596,2123,,8/6/2018,8/14/2019,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
KHBI,AWOS,Asheboro Municipal Airport,Randolph County,NC,35.6545278,-79.8947389,673,FAA / Local Aviation,12/13/2000,11/2/2020,YES,YES,no,YES,no,YES,YES,YES,YES,YES,YES,YES,YES,YES,no,YES,no,no,no,no,no,YES,no,no
310286,COOP,Asheboro 2 W,Randolph County,NC,35.70444,-79.83778,870,NOAA National Weather Service,2/1/1926,10/31/2020,YES,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-RN-1,CoCoRaHS,Asheboro 2.2 SSE,Randolph County,NC,35.6892,-79.801,837,,5/3/2008,2/24/2015,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-RN-3,CoCoRaHS,Asheboro 1.2 SW,Randolph County,NC,35.70761,-79.82665,810,,7/17/2008,4/22/2018,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-RN-7,CoCoRaHS,Asheboro 6.5 SE,Randolph County,NC,35.650556,-79.731944,587,,11/16/2009,11/26/2018,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-RN-13,CoCoRaHS,Asheboro 10.9 S,Randolph County,NC,35.5645049,-79.777743,734,,5/31/2011,11/3/2020,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-RN-15,CoCoRaHS,Asheboro 7.6 SW,Randolph County,NC,35.639532,-79.905275,602,,8/17/2013,1/25/2019,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-RN-17,CoCoRaHS,Asheboro 0.9 S,Randolph County,NC,35.706991,-79.81332,830,,8/17/2013,12/1/2016,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-RN-23,CoCoRaHS,Asheboro 1.3 SSE,Randolph County,NC,35.703544,-79.801582,888,,2/24/2015,5/11/2019,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-RN-24,CoCoRaHS,Asheboro 2.6 NNE,Randolph County,NC,35.756542,-79.799958,697,,5/1/2015,11/2/2020,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
